排名,标题,回答数,关注数,热度(万),问题链接
1,大量用户反馈被美团删除相册照片，客服回应称是插件冲突，真的是这样吗？为什么 App 能删用户的照片？,86,357,388,https://www.zhihu.com/question/2019359659350254663
2,如何看待华为 3 月 23 日举办的春季新品发布会？有哪些信息值得关注？,54,133,357,https://www.zhihu.com/question/2019430438742049214
3,国家对成品油价格采取临时调控措施，全国平均每升少涨 0.85 元左右，意味着什么？,419,905,185,https://www.zhihu.com/question/2019432223862997189
4,携程、京东、抖音等十二家企业被约谈，集中通报平台「内卷式」竞争问题，哪些信息值得关注？,47,131,154,https://www.zhihu.com/question/2019473608989172095
5,英媒称「全球能源危机来袭，中国多年布局终见成效」，为什么这样说？中国的能源储备是什么水平？,366,1423,125,https://www.zhihu.com/question/2018349276070180463
6,美被曝考虑地面行动夺取伊朗哈尔克岛，成功夺取的可能性有多大？若行动可能将美伊局势推向何方？,180,380,124,https://www.zhihu.com/question/2019404059455480040
7,伊朗否认与美国沟通，此前特朗普称已与伊朗对话，将推迟五天打击伊朗发电站，如何看待此事？战争要结束了吗？,734,1579,122,https://www.zhihu.com/question/2019499450662348649
8,西湖醋鱼和北京豆汁公认的难吃，是靠什么流传至今的？,123,194,120,https://www.zhihu.com/question/1896660482921833042
9,假如围棋是高考唯一科目，那么新出现的棋手能不能把申真谞挤出前100？,45,71,81,https://www.zhihu.com/question/1931641841775796718
10,瞿颖因「不想上班」言论翻红，经纪人婉拒工作，这反映了她怎样的职场心态？,47,156,77,https://www.zhihu.com/question/2016956283866071481
11,美以袭击伊朗进入第 25 天，当前局势如何？哪些信息值得关注？,143,259,76,https://www.zhihu.com/question/2019540758806357531
12,为什么现在很多人不重视肌肉的增加与保持？,46,114,76,https://www.zhihu.com/question/14730280957
13,言承旭演唱会提词器曝光，有「眼眶微红、深吸口气」等情绪指令引热议，如何看待此事？你介意这种舞台剧本吗？,207,430,76,https://www.zhihu.com/question/2018650888789517079
14,香港发生亿元黄金劫案，5 人在金行抢走 73 公斤金条，嫌疑人均已被拘捕，具体情况如何？,65,212,76,https://www.zhihu.com/question/2019148545123377273
15,中国驻以使馆再次提醒在以中国公民摒弃侥幸心理，尽快回国或撤离，目前当地情况如何？会迎来更大规模冲突吗？,198,632,75,https://www.zhihu.com/question/2019409577557407530
16,徐志胜自曝创业月亏 12 万，因要养 6 个员工而不愿关公司，如何看待这种「非理性」的创业心态？,187,465,75,https://www.zhihu.com/question/2018688797433357717
17,为什么会感觉量子一直在拿各种大奖，但离生活又好远，量子会是下一个时代趋势吗？,18,35,69,https://www.zhihu.com/question/2018052338602960552
18,新能源车渗透率都过50%了，为什么我就没见过专修新能源车的修理厂？,1242,2784,68,https://www.zhihu.com/question/654140946
19,进口头孢西力欣被炒出 1500 元左右高价，此前每盒仅售 30 元，这款抗生素原研老药为何涨成天价？,119,307,64,https://www.zhihu.com/question/2017907922689099217
20,尚界 Z7 预售 22.98 万起，全系标配华为 896 线激光雷达等黑科技，你有哪些期待？,286,371,59,https://www.zhihu.com/question/2019363621617025238
21,乘客去世英航班仍飞完全程，遗体被放机舱厨房13小时多人闻到异味，航司称程序正确，如何看待此处理方式？,63,209,59,https://www.zhihu.com/question/2019115301833240762
22,清华专家杨斌认为「token」译名迫在眉睫，该词为何如此难翻译，又该如何选择最合适的中文译名？,120,178,59,https://www.zhihu.com/question/2017813261446313711
23,为什么越接近现代动物的体型越小，而史前却有很多身形巨大的动物？,18,109,59,https://www.zhihu.com/question/50911911
24,现货黄金跌回今年所有涨幅，国内金价跌破1000元，紧张局势下黄金为何反而下跌了？反映了怎样的逻辑变化？,46,217,58,https://www.zhihu.com/question/2019416206755456329
25,为什么m1911只比转轮手枪多一发子弹却至今受到很多美国军人警察喜欢？,53,88,58,https://www.zhihu.com/question/8187119891
26,《英雄联盟》永恩的E技能如果改成不再次施放就不用回去，是什么强度？,66,78,58,https://www.zhihu.com/question/2459654230
27,领导喜欢哪种类型的下属？,60,88,58,https://www.zhihu.com/question/1964975843198608506
28,大家会因为上班太闲而辞职吗？,998,1074,58,https://www.zhihu.com/question/661565537
29,如何评价 Bin 在 2026 全球先锋赛上的表现？,19,28,58,https://www.zhihu.com/question/2019218707050710650
30,如何在短时间内学习multi-agent（有翻译成智能体or代理）建模?,38,442,58,https://www.zhihu.com/question/28663561
